concept,stratum,C2,de,en,uk,ru,isv,isv_cyr,cs,sk,pl,sl,hr_sr,bg,es,fr,pt,gl,ca,it,ro,rm,ar,fa,my_id,branch_coverage_slavic,action_class,sensitivity,best_alt_mean_MAG,lane_count,concept_norm,source_weight_total,source_weight_profile,priority_score,priority_band,risk_flags,ws_west_status,ws_south_status,ws_candidates,ws_lang_forms,c2_context_covered,main_sources,canonical_or_ledger_terms,lane_status_summary,weighted_top_by_scheme,weighted_current_scores,weighted_best_noncurrent,weighted_review_question,isv_source_cue,isv_cyr_source_cue,uk_source_cue,ru_source_cue,register_doublet_group,register_branch_profile,register_doublet_policy,register_evidence
noetherian module,rings_modules,,,noetherian module,,,,,,,,,,,,,,,,,,,المقاسات النوثيرية,مدول نوتری,,0,,,,2,noetherian module,1.08,"{""cross_lane_spine"": 0.08, ""lane_arabic_farsi_persianate"": 0.5, ""lane_controlled_arabic"": 0.5}",0,D_background,,no_hit,no_hit,{},{},,,,"{""arabic_farsi_persianate"": ""ar:fallback_attested_needs_review; fa:open_no_direct_hit; bridge:bridge_candidate_review_required"", ""controlled_arabic"": ""fallback_attested_needs_review""}",{},{},,,,,,,,,,
norm,curriculum_algebra,,(red.) Norm / (red.) Differente; Norm / Elementarteiler,norm,,,,,cognate of ISV form [S],cognate of ISV form [S],cognate of ISV form [S],cognate of ISV form [S],cognate of ISV form [S],,,,,,,,,,,,,,confirm_current,stable,-999,,norm,2.4,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15, ""native_ws_witness_candidate"": 0.75, ""weighted_marginal_analysis"": 0.1, ""ws_mechanical_probe"": 0.5}",0,D_background,,support,support,"{""cognate of ISV form"": 387}","{""cs"": [""cognate of ISV form""], ""hr"": [""cognate of ISV form""], ""pl"": [""cognate of ISV form""], ""sk"": [""cognate of ISV form""], ""sl"": [""cognate of ISV form""]}",,ws:croatian_mathhr_algebra_structures_2024.txt; ws:croatian_pmf_split_prsteni.txt; ws:czech_cuni_algebra_2021.txt; ws:czech_cuni_noncommutative_body_thesis.txt; ws:czech_cuni_representation_idempotents.txt; ws:czech_cuni_telesa_pole_note.txt; ws:czech_karlin_commutative_rings_fields.txt; ws:polish_mimuw_algebra2_galois.txt; ws:polish_mimuw_noncommutative_body.txt; ws:polish_uj_algebra1_noetherian.txt; ws:polish_uwr_algebra2_rings.txt; ws:slovak_abstraktna_algebra.txt,de:(red.) Norm / (red.) Differente; Norm / Elementarteiler; uk:зведена норма / зведена диферента; норма / елементарний дільник; ru:норма / элементарный делитель; приведенная норма / приведенная дифферента; isv:norma / elementarny dělitelj; reducirana norma / reducirana diferenta; isv_cyr:норма / елементарны делитељ,{},"{""dependence_pd"": ""norma"", ""equal_branch"": ""norma"", ""equal_splits"": ""norma"", ""population_proxy"": ""norma""}","{""dependence_pd"": 0.9090909090909091, ""equal_branch"": 1.0, ""equal_splits"": 0.8888888888888888, ""population_proxy"": 0.9652715939447908}",,Confirm 'norma' (support pattern acceptable) or note preferred variant policy.,norma / elementarny dělitelj; reducirana norma / reducirana diferenta,норма / елементарны делитељ,зведена норма / зведена диферента; норма / елементарний дільник,норма / элементарный делитель; приведенная норма / приведенная дифферента,,,,
normal subgroup,group_theory,,Normalteiler,normal subgroup,нормальний дільник,нормальный делитель,normalny dělitelj,нормалны делитель,,,,,,,,,,,,,,,,,,1,,,,2,normal subgroup,1.29,"{""canonical_source_normalization"": 0.9, ""cross_lane_spine"": 0.04, ""draft_triangulation"": 0.15, ""lane_controlled_arabic"": 0.2}",0,D_background,,no_hit,no_hit,{},{},,,de:Normalteiler; uk:нормальний дільник; нормальний піддільник; ru:нормальный делитель; isv:normalny podgrup,"{""controlled_arabic"": ""open_no_direct_evidence""}",{},{},,,,,,,,,,
number field,curriculum_algebra,,relativ-galoissche Zahlkörper,number field,,,relativno-Galoisove čislove polja,,,,,,,,,,,,,,,,,,,,,,,,number field,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",0,D_background,,no_hit,no_hit,{},{},,,de:relativ-galoissche Zahlkörper; uk:відносно галуїсові числові поля; ru:относительно галуаовы числовые поля; isv:relativno-Galoisove čislove polja,{},{},{},,,,,відносно галуїсові числові поля,относительно галуаовы числовые поля,,,,
one to one,curriculum_algebra,,eineindeutig,one to one,взаємно однозначно,взаимно однозначно,vzaimno-jednoznačno,взаимно-једнозначно,,,,,,,,,,,,,,,,,,,,,,,one to one,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",0,D_background,,no_hit,no_hit,{},{},,,de:eineindeutig; uk:взаємно однозначно; ru:взаимно однозначно; isv:vzaimno-jednoznačno; isv_cyr:взаимно-једнозначно,{},{},{},,,,,,,,,,
one-sided,algebra_invariant_theory,,,one-sided,,,,,,,,,,,unilateral,unilatere(s),,unilateral,,,,unilateral,,,,0,,,,1,one sided,0.54,"{""cross_lane_spine"": 0.04, ""lane_pan_romance"": 0.5}",0,D_background,,no_hit,no_hit,{},{},,"pan_romance:es:cum_es.tex:9047; pan_romance:fr:N19_s12_fr_body.tex:8, :24, :74",,"{""pan_romance"": ""thin_auxiliary_source_hit""}",{},{},,,,,,,,,,
order,curriculum_algebra,,"Formen 11. Ordnung; Formen 11., 12., 13., 15. Ordnung; Formen 12., 13., 14., 15. Ordnung; Formen 7. Ordnung; Formen 8. Ordnung; Formen achter Ordnung; Formen dritter Ordnung; Formen fünfter Ordnung; Formen neunter Ordnung; Formen sechster Ordnung; Formen siebenter Ordnung; Formen vierter Ordnung; Formen zehnter Ordnung; Ordnung; R-Ordnung",order,R-порядок,R-порядок,,R-порјадок,,,,,,,,,,,,,,,,,,,,,,,order,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",0,D_background,,no_hit,no_hit,{},{},,,"de:Formen 11. Ordnung; Formen 11., 12., 13., 15. Ordnung; Formen 12., 13., 14., 15. Ordnung; Formen 7. Ordnung; Formen 8. Ordnung; Formen achter Ordnung; Formen dritter Ordnung; Formen fünfter Ordnung; Formen neunter Ordnung; Formen sechster Ordnung; Formen siebenter Ordnung; Formen vierter Ordnung; Formen zehnter Ordnung; Ordnung; R-Ordnung; uk:R-порядок; порядок; форми 10-го порядку; форми 11-го порядку; ru:R-порядок; порядок; формы 10-го порядка; формы 11-го порядка; isv:Formy 11., 12., 13. i 15. poręda; Formy 12., 13., 14., 15. poręda; Formy 7. poręda; Formy 8. poręda; isv_cyr:R-порјадок; порјадок; формы 10. поряда; формы 11. поряда",{},{},{},,,"Formy 11., 12., 13. i 15. poręda; Formy 12., 13., 14., 15. poręda; Formy 7. poręda; Formy 8. poręda",R-порјадок; порјадок; формы 10. поряда; формы 11. поряда,R-порядок; порядок; форми 10-го порядку; форми 11-го порядку,R-порядок; порядок; формы 10-го порядка; формы 11-го порядка,,,,
power,algebra_invariant_theory,,,power,,,,,,,,,,,potencia,puissance,potencia,potencia,potencia,potenza,putere,potenza,,,,0,,,,1,power,0.54,"{""cross_lane_spine"": 0.04, ""lane_pan_romance"": 0.5}",0,D_background,,no_hit,no_hit,{},{},,pan_romance:es:cum_es.tex:572; pan_romance:fr:cum_fr_P19s12.tex:476,,"{""pan_romance"": ""interlingua_source_hit""}",{},{},,,,,,,power-exponent,potęga(pl)/potenca(sl): W10/S39/E1; stepen-: W0/S267/E1; stupanj(hr): W217/S25/E0; mocnina(cs/sk): W46/S0/E0,"pan-root anchor: potęga(pl)/potenca(sl), stupanj(hr); branch aliases: W=['mocnina(cs/sk)'] S=['stepen-']",REGISTER_DOUBLET_BRANCH_EVIDENCE_v2_20260704.json (mechanical_probe 0.5)
primary ideal,algebra_invariant_theory,,Komplementpotenz / durch ein Primärideal teilbar; Primärideal,primary ideal,первинний ідеал,первичный идеал,primarny ideal,,,,,,,,ideal primario,ideal primaire,ideal primario,,ideal primari,ideale primario,,,,,,1,,,,2,primary ideal,1.59,"{""canonical_source_normalization"": 0.9, ""cross_lane_spine"": 0.04, ""draft_triangulation"": 0.15, ""lane_pan_romance"": 0.5}",0,D_background,,no_hit,no_hit,{},{},,pan_romance:es:cum_es.tex:8073; pan_romance:fr:translations/paper22/french/v001/Noether_Paper22_Intro_Section01_French_v001.tex:59,de:Primärideal; uk:первинний ідеал; ru:первичный идеал; isv:primarny ideal; isv_cyr:примарны идеал,"{""pan_romance"": ""no_promoted_register_source_hit""}",{},{},,,,властны примарны идеал / властно примарна компонента,,,,,,
principal ideal,curriculum_algebra,,hauptideal,principal ideal,,,,,,,,,,,,,,,,,,,,,,,,,,,principal ideal,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",0,D_background,,no_hit,no_hit,{},{},,,de:hauptideal,{},{},{},,,,,,,,,,
product,algebra_invariant_theory,,,product,,,,,,,,,,,producto,produit,produto,produto,producte,prodotto,produs,product,,,,0,,,,1,product,0.78,"{""cross_lane_spine"": 0.08, ""lane_interslavic"": 0.2, ""lane_pan_romance"": 0.5}",0,D_background,,no_hit,no_hit,{},{},,interslavic:noether_paper02_section01_terms.json; interslavic:noether_paper02_section03_terms.json; interslavic:noether_paper02_section15_terms.json; interslavic:noether_paper02_section19_terms.json; pan_romance:es:cum_es.tex:322; pan_romance:fr:cum_fr_P19s12.tex:229,,"{""interslavic"": ""provisional"", ""pan_romance"": ""interlingua_source_hit""}",{},{},,,,,,,,,,
proper divisor,curriculum_algebra,,echter Teiler / Gliederzahl,proper divisor,власний дільник,собственный делитель,,властны делитель,,,,,,,,,,,,,,,,,,,,,,,proper divisor,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",0,D_background,,no_hit,no_hit,{},{},,,de:echter Teiler / Gliederzahl; uk:власний дільник / кількість членів; ru:собственный делитель / число членов; isv:vlastny dělitelj / čislo členov; isv_cyr:властны делитељ / число членов,{},{},{},,,vlastny dělitelj / čislo členov,властны делитељ / число членов,власний дільник / кількість членів,собственный делитель / число членов,,,,
quotient,,,,quotient,,,,,,,,,,,,,,,,,,,,,hasil bagi/kuosien,0,,,,1,quotient,0.24,"{""cross_lane_spine"": 0.04, ""lane_malay_indonesian"": 0.2}",0,D_background,,no_hit,no_hit,{},{},,malay_indonesian:UIN quotient/factor rows; UM terminology,,"{""malay_indonesian"": ""variant_pair_required""}",{},{},,,,,,,,,,
quotient group,group_theory,,,quotient group,,,,,,,,,,,,,,,,,,,زمرة خارجية,گروه خارج‌قسمتی,,0,,,,2,quotient group,0.78,"{""cross_lane_spine"": 0.08, ""lane_arabic_farsi_persianate"": 0.5, ""lane_controlled_arabic"": 0.2}",0,D_background,,no_hit,no_hit,{},{},,,,"{""arabic_farsi_persianate"": ""ar:open_no_direct_evidence; fa:open_no_direct_hit; bridge:bridge_candidate_review_required"", ""controlled_arabic"": ""open_no_direct_evidence""}",{},{},,,,,,,,,,
quotient module,rings_modules,,,quotient module,,,,,,,,,,,,,,,,,,,,,,0,,,,1,quotient module,0.24,"{""cross_lane_spine"": 0.04, ""lane_controlled_arabic"": 0.2}",0,D_background,,no_hit,no_hit,{},{},,,,"{""controlled_arabic"": ""open_no_direct_evidence""}",{},{},,,,,,,,,,
rank,algebra_invariant_theory,,Rang; algebraischer Rang,rank,алгебраїчний ранг,алгебраический ранг,algebraičny rang,алгебраичны ранг,,,,,,,rango,rang,posto,rango,rang,rango,rang,rang,,,,1,,,,2,rank,1.59,"{""canonical_source_normalization"": 0.9, ""cross_lane_spine"": 0.04, ""draft_triangulation"": 0.15, ""lane_pan_romance"": 0.5}",0,D_background,,no_hit,no_hit,{},{},,pan_romance:es:cum_es.tex:4347; pan_romance:fr:cum_fr_P19s12.tex:400,de:algebraischer Rang / Restklassenkörper; uk:алгебраїчний ранг / поле класів лишків; ru:алгебраический ранг / поле классов вычетов; isv:algebraičny rang / polje ostatkovyh klasov; isv_cyr:алгебраичны ранг / полье остатковых класов,"{""pan_romance"": ""esperanto_warning_source_hit""}",{},{},,,,,,,,,,
reduced,algebra_invariant_theory,,,reduced,,,,,,,,,,,reducido,reduit,reduzida,reducida,reduit,ridotta,redus,,,,,0,,,,1,reduced,0.54,"{""cross_lane_spine"": 0.04, ""lane_pan_romance"": 0.5}",0,D_background,,no_hit,no_hit,{},{},,pan_romance:es:cum_es.tex:496; pan_romance:fr:french/0605499v2/indice1.tex:681,,"{""pan_romance"": ""esperanto_warning_source_hit""}",{},{},,,,,,,,,,
reducible,algebra_general,,,reducible,,,,,,,,,,,,,,,,,,,قابل للاختزال,فروکاستنی/تحویل‌پذیر,,0,,,,1,reducible,0.78,"{""cross_lane_spine"": 0.08, ""lane_arabic_farsi_persianate"": 0.5, ""lane_interslavic"": 0.2}",0,D_background,,no_hit,no_hit,{},{},,interslavic:noether_paper02_section03_terms.json; interslavic:noether_paper02_section15_terms.json; interslavic:noether_paper02_section19_terms.json,,"{""arabic_farsi_persianate"": ""ar:not_in_arabic_spine; fa:attested_needs_review; bridge:bridge_candidate_review_required"", ""interslavic"": ""stable_provisional""}",{},{},,,,,,,,,,
regular representation,curriculum_algebra,,reguläre Darstellung,regular representation,регулярне зображення,регулярное представление,regularno predstavjenje,регуларно представјенье,,,,,,,,,,,,,,,,,,,,,,,regular representation,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",0,D_background,,no_hit,no_hit,{},{},,,de:reguläre Darstellung; uk:регулярне зображення; ru:регулярное представление; isv:regularno predstavjenje; isv_cyr:регуларно представјенье,{},{},{},,,,,,,,,,
relatively prime,algebra_invariant_theory,,,relatively prime,,,,,,,,,,,relativamente primo,premiers entre eux,,,,,,,,,,0,,,,1,relatively prime,0.54,"{""cross_lane_spine"": 0.04, ""lane_pan_romance"": 0.5}",0,D_background,,no_hit,no_hit,{},{},,pan_romance:es:cum_es.tex:9068; pan_romance:fr:french/math_0507070v1/jlctbbki27juin.tex:1742,,"{""pan_romance"": ""esperanto_warning_source_hit""}",{},{},,,,,,,,,,
remark,proof_grammar,,Nachbemerkung,remark,Додаткова заувага,Дополнительное замечание,Dodatna primětka,Додатна приметка,,,,,,,,,,,,,,,,,,,,,,,remark,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",0,D_background,,no_hit,no_hit,{},{},,,de:Nachbemerkung; uk:Додаткова заувага; примітка; ru:Дополнительное замечание; примечание; isv:Dodatna primětka; Dodatna zamětka; primětka; isv_cyr:Додатна приметка; приметка,{},{},{},,,Dodatna primětka; Dodatna zamětka; primětka,Додатна приметка; приметка,Додаткова заувага; примітка,Дополнительное замечание; примечание,,,,
residue class,algebra_invariant_theory,,Gesamtheit aller / Gesamtheit der Restklassen; Restklasse,residue class,клас лишків,класс вычетов,cělokupnost,класы остатков,,,,,,,clase residual / clase de restos,classe residuelle,,clase residual,,,,,,,,1,,,,2,residue class,1.59,"{""canonical_source_normalization"": 0.9, ""cross_lane_spine"": 0.04, ""draft_triangulation"": 0.15, ""lane_pan_romance"": 0.5}",0,D_background,,no_hit,no_hit,{},{},,pan_romance:es:cum_es.tex:8013; pan_romance:fr:french/math_0611584v2/fast-xxx2.tex:2734,de:endlich viele linear unabhängige Restklassen; uk:скінченно багато лінійно незалежних класів лишків; ru:конечное число линейно независимых классов вычетов; isv:konečno mnogo ostatkovyh klasov linearno nezavisnyh; isv_cyr:конечно много остатковых класов линеарно независных,"{""pan_romance"": ""esperanto_warning_source_hit""}",{},{},,,,,,,,,,
residue class field,curriculum_algebra,,Restklassenkörper; Restklassensystem / Restklassenkörper,residue class field,поле класів лишків,поле классов вычетов,,,,,,,,,,,,,,,,,,,,,,,,,residue class field,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",0,D_background,,no_hit,no_hit,{},{},,,de:Restklassenkörper; Restklassensystem / Restklassenkörper; uk:поле класів лишків; система класів лишків / поле класів лишків; ru:поле классов вычетов; система классов вычетов / поле классов вычетов; isv:polje ostatkovyh klasov; sistem ostatkovyh klasov / polje ostatkovyh klasov; isv_cyr:полье остатковых класов; систем остатковых класов / поље остатковых класов,{},{},{},,,polje ostatkovyh klasov; sistem ostatkovyh klasov / polje ostatkovyh klasov,полье остатковых класов; систем остатковых класов / поље остатковых класов,поле класів лишків; система класів лишків / поле класів лишків,поле классов вычетов; система классов вычетов / поле классов вычетов,,,,
